"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","100000000","No"
"0x00003f1bd3852d33ea09ef67de1364f365bf3d57","4052795.41606032","No"
"0x01a11b868047ac900be3917d2cb91938da03e9c9","87071.6930400506","No"
"0x01d93ac422946391d4cf88b9bf5d4efebc26d071","1425.31009774898","No"
"0x0281f77524448f1969519209af08c5dfc2ba3064","956353.507429235","No"
"0x02f0f42fe2edd65c47935afe749751861e9d65ea","261497.959298436","No"
"0x0310daa9e9dd5db9ed64154cf3d0c845d23381f8","0.00100191013183048","No"
"0x042e28da849786e7107634096d7ad42a1e0263f8","255281.747752483","No"
"0x04af6d05f0967cad276dce5390e352f0b1e432ea","2072349.54644423","No"
"0x0533d40c4b884240a74a418687f456c3bab3fad3","271989.01951509","No"
"0x06102325710c148fb798a1f75fe3727d1ae256ee","202628.53988802","No"
"0x062f3f15361a44c99b73a99c07a9ac291fd54d88","23679.717966691","No"
"0x0692ee6b5c88870da8105afeaa834a20091a29ff","1351795.24537271","No"
"0x07529a0dbeaa96754f7296db6c0aca9224601917","156238.385510847","No"
"0x09de2eccfe9af85cb79b5943d265597cc70f206d","3898138.7648026","No"
"0x0aba28dc2df16d6f507332c2e1d1a607eacb00c9","2.0341743080622","No"
"0x0b54b916e90b8f28ad21da40638e0724132c9c93","221.177676464604","No"
"0x0d36ec875719afc059766829231b3bfd52c5f180","3501456.1033967","No"
"0x0e3c7363decabfe24637caad9e6432c6ab750648","4500.00090000018","No"
"0x0e5b5b58c3dc80bf0fc197f1743394e5d67aa030","2353961.74805957","No"
"0x0ec934515aafc157d7a4de88743dfe53de91d163","454735.529140958","No"
"0x0ef089ed011e6e798a3b89ad2101da5d54174787","0.0289298850269395","No"
"0x0f3da7dfdfe25df3bff3dcf6e5c8f677683a647e","1859683.10913481","No"
"0x0f4422303f1da294b96c781b1b0368cc7cdfe8d8","1756884.39804179","No"
"0x0fe00da36d4b365225499ca1dd62b419c8242442","196778.648952548","No"
"0x0fef03d9dfcaa4f4ea101b189f3c38687604b6e1","4502581.22269297","No"
"0x10d949feb3e7538e8dd62f1df506b42cbbfb840f","400009.546538206","No"
"0x11698d3e0f9a0b201e39cab831ed882406938dc0","65221001.7178387","No"
"0x11f97d6d76aecb303cd0ab2c510308463acd1308","479657.293390651","No"
"0x12ad493c068bded39da2f61a00e20265acc24b5d","453742.374755174","No"
"0x139636606d3bc9b523ff82452fa2200c8a44e54d","1174351.08154012","No"
"0x13b3a50f3947476eda74fe191344524e2d2d28e5","4890178.60909356","No"
"0x140477aefe5fdb2652da9b0e3b8ba41c76bde0ab","2795402.79842232","No"
"0x14333276befdfbeb6726c985cc31ddc8c5dabf7d","2083575.55792028","No"
"0x15e39e7faee3e53d7a5332c0ce786c71510af658","494168.066708157","No"
"0x16d6bfcd5e9b326d1b706d6979a5ad5b7d00a2b0","0.211563723819541","No"
"0x1711bc52bf7e0494325799717fe640f1924617b7","4876839.49598015","No"
"0x1739db51b363d7ebeebb8128f053348d66f29418","1758117.97406516","No"
"0x1748789703159580520cc2ce6d1ba01e7359c44c","254040.996095607","No"
"0x17503e8153e566c2f316cf36736088b979234f75","317724.604969178","No"
"0x1775d5582375ed3e09a3aa0e367936b1e5818e95","1457814.16751105","No"
"0x183755f5002d1de488c5b1410ec42f234a29a4fa","2259265.48389741","No"
"0x18a2bceb4871a3b07234063fe82753e9e1684161","0.00815830584475347","No"
"0x18ab367d0e3a2de407694d0606e52678f4f262db","3781814.23612733","No"
"0x192f453435e970ecac4fc518e7cf141795fbc65e","2636928.76552606","No"
"0x1b90cef34b5aa5ead085377ed990939cefb0d0e9","5.03990492762034","No"
"0x1bff6defb0cbbb35ad516688d2bc4de8a5b0182a","3784326.26367637","No"
"0x1cc972ff969689873f8010bdd0cf3dc30618397e","155596.050863975","No"
"0x1e4aecc7d3bdf9294047543526b5cd3b305f2209","86.0942951895532","No"
"0x20590c641ac65223f4163870e99cb4f1837f4629","167070.764439146","No"
"0x209617efd6f9e4e64c91cf8cc07c16dcff930d63","4172113.32930062","No"
"0x210c120f967876990830a92d9f2e001b3e96d074","94518.2272338904","No"
"0x21affebfea40b4015b0ae31c9a1d5b3034db470d","480245.280094101","No"
"0x21ef8ba426716f68f96b640dfeb324148e6f8179","29661.3391019501","No"
"0x25046a3461220ed208a1285d7142a54bdae498d5","2475607.32722327","No"
"0x254a3633c0ccd63a8bf085ca4d6439224bf83975","2161395.88174985","No"
"0x2592552707b9575afb566178134118a69d97fe29","614249.985244557","No"
"0x25bfb4440eabe6316568c1037ca15de16a3b55d0","860365.33949531","No"
"0x25cc5677c82453ea26642f7a3f733c6006c31011","3702226.98804301","No"
"0x276ffb8af57da846480f14fcdaf3912cddc5b07f","373912.553666008","No"
"0x27aea25f12f766103d2ee71143349952e480ab0f","4811192.12850332","No"
"0x27b8f82a555ca223029e7daaba329674c71bcda7","26.29625295203","No"
"0x2876f01b33537cb6a860b9fc7071606ff4949bd6","13950.0086490054","No"
"0x2b90dcb33932642214e1f23c4ec62870e6a70d75","497540.288058939","No"
"0x2ba2e7369512d6e309d5250bb12f8b26091e56c6","2113221.52227484","No"
"0x2bd2be917eb9379e6010c110ec4fc8a305fb3437","7200.00230400074","No"
"0x2c878eb749fd1717fe64e68e2a36f7be35754bdc","0.177314920670514","No"
"0x2caa12ac91edc4fab9236de333996f9fd357cff2","841272.256846128","No"
"0x2df252fd43ba39364084f2c23b09c9184ac5fa28","4409554.06081876","No"
"0x2fe6f72bec74a962e689e68beee389bab175936d","345143.291936548","No"
"0x303425052e462dd0f3044aee17e1f5be9c7de783","0.615419252181723","No"
"0x308015aba8bafd4b619eca86b4de305f463e5caf","2341432.08342487","No"
"0x315388deb1608bdcf532ce0bf6fc130542f5132c","108000.642039925","No"
"0x316b333e664d0af5b6b3e60fb2b619623b5f3980","4053831.93786278","No"
"0x31cdf7f7329c5993a2b06a988ddddf38eeb4ad6b","100000000","No"
"0x3203d3d5bbed4fe644fa97372051fc26c2739a30","214998.259474114","No"
"0x3221ba82d17e708f17980a5c399578de2a04b798","1750623.65077464","No"
